제목,저자,출판사,출판일,판매가,정가,판매지수,리뷰수,평점,판매가_num,정가_num,판매지수_num,출판월,할인율
"모두의 인공지능 with 파이썬 머신러닝, 딥러닝부터 생성형 AI까지 쉽게 배우는 인공지능 입문서!",이영호저,길벗,2025년 07월,"27,000원","30,000원","2,940",14,10.0,27000,30000,2940,2025-07,10.0
처음 만나는 드론 인문학 미래를 여는 꿈·과학·예술의 비행체,조장현저/노상재그림,초봄책방,2025년 11월,"15,750원","17,500원","1,455",10,10.0,15750,17500,1455,2025-11,10.0
클린 아키텍처 소프트웨어 구조와 설계의 원칙,로버트 C. 마틴저/송준이역,인사이트(insight),2019년 08월,"26,100원","29,000원","5,304",43,9.7,26100,29000,5304,2019-08,10.0
수학자와 함께하는 인공지능 수학 with 파이썬,"김종락,원병선저",한빛아카데미,2024년 01월,"32,000원","32,000원","3,987",4,10.0,32000,32000,3987,2024-01,0.0
Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,시바타 보요저/강민역,이지스퍼블리싱,2020년 07월,"19,800원","22,000원","3,426",36,9.2,19800,22000,3426,2020-07,10.0
Do it! 자바 프로그래밍 입문,박은종저,이지스퍼블리싱,2025년 01월,"26,100원","29,000원","3,150",20,10.0,26100,29000,3150,2025-01,10.0
혁펜하임의 Easy! 딥러닝,혁펜하임저,북엔드,2024년 11월,"31,500원","35,000원","6,270",31,9.9,31500,35000,6270,2024-11,10.0
"돈 되는 AI, 어디서부터 무엇을 어떻게 해야 할까 오라클, 딜로이트, 언스트앤영 출신의 빅데이터·AI 전문가가 알려 주는 AI AGENT 시대 기업이 살아남는 법",장동인저,리코멘드,2025년 09월,"22,500원","25,000원","4,242",6,10.0,22500,25000,4242,2025-09,10.0
데이터 삽질 끝에 UX가 보였다 스타트업 전문 프로덕트 디자이너가 들려주는 현실 데이터 드리븐,이미진저,한빛미디어,2025년 07월,"23,400원","26,000원","3,318",24,9.8,23400,26000,3318,2025-07,10.0
“좋아 보여” LGTM을 넘어 건설적인 코드 리뷰로,에이드리엔 브라간자저/이춘혁역,제이펍,2025년 12월,"27,000원","30,000원",,0,0.0,27000,30000,0,2025-12,10.0
규칙으로 배우는 임베디드 시스템: 회로 설계 및 PCB 설계 규칙,장선웅저,북랩,2024년 10월,"27,000원","30,000원",,0,0.0,27000,30000,0,2024-10,10.0
"챗GPT, 저는 이렇게 쓰고 있어요 일상부터 업무까지! 나의 고민을 해결해 주는 챗GPT 활용 팁북",최소영저,길벗,2025년 11월,"16,920원","18,800원","4,878",39,9.9,16920,18800,4878,2025-11,10.0
규칙으로 배우는 임베디드 시스템: 기초 DSP와 제어 시스템,장선웅저,북랩,2024년 10월,"25,200원","28,000원",,0,0.0,25200,28000,0,2024-10,10.0
"기업과 고객을 파괴하는 해킹과 사이버 보안의 모든 것 취약점, 랜섬웨어, 악성코드 위협부터 디지털 포렌식, AI보안까지 안전한 사이버 공간을 위한 올바른 보안 지식","유진 스파포드,리 메트칼프,조사이어 다이크스트라저/김경곤,장은경역 외 1명정보 더 보기/감추기유진 스파포드리 메트칼프조사이어 다이크스트라김경곤장은경박기성",책만,2025년 08월,"29,700원","33,000원","2,238",4,10.0,29700,33000,2238,2025-08,10.0
